Parasite.species,Clade,transmission,parasitism,lcl,remarks
Hydatigera taeniaeformis,Cestoda (Tapeworms),trophic,animal,2,
Hymenolepis diminuta,Cestoda (Tapeworms),trophic,animal,2,
Hymenolepis microstoma,Cestoda (Tapeworms),trophic,animal,2,
Hymenolepis nana,Cestoda (Tapeworms),trophic,animal,2,
Macrostomum lignano,Rhabditophora,free-living,free-living,0,
Mesocestoides corti,Cestoda (Tapeworms),trophic,animal,3,
Opisthorchis viverrini,Trematoda (Flukes),trophic; penetration,animal,3,
Protopolystoma xenopodis,Monogenea,free-living,animal,1,ectoparasite
Schistocephalus solidus,Cestoda (Tapeworms),trophic,animal,3,
Schistosoma curassoni,Trematoda (Flukes),penetration,animal,2,
Schistosoma haematobium,Trematoda (Flukes),penetration,animal,2,
Schistosoma japonicum,Trematoda (Flukes),penetration,animal,2,
Schistosoma mansoni,Trematoda (Flukes),penetration,animal,2,
Schistosoma margrebowiei,Trematoda (Flukes),penetration,animal,2,
Schistosoma mattheei,Trematoda (Flukes),penetration,animal,2,
Schistosoma rodhaini,Trematoda (Flukes),penetration,animal,2,
Schmidtea mediterranea,Rhabditophora,free-living,free-living,0,
Spirometra erinaceieuropaei,Cestoda (Tapeworms),trophic,animal,4,
Taenia asiatica,Cestoda (Tapeworms),trophic,animal,2,
Taenia saginata,Cestoda (Tapeworms),trophic,animal,2,
Taenia solium,Cestoda (Tapeworms),trophic,animal,2,
Trichobilharzia regenti,Trematoda (Flukes),penetration,animal,2,
